Well_Name,Program,Expedition,Site,Hole,Oceanic_Region,Longitude,Latitude,Spud_Date,Completion_Date,Water_Depth_(m),Number_of_Cores,Total_Penetration_(mbsf),Interval_Cored_(m),Core_Recovered_(m),%_Recovered,Reported_Age_of_Oldest_Sediment_Recovered,Oldest_Sediment_Lithology,Oldest_Sediment_Subbottom_Depth,EGI_Synthesized,Well_Logging,Data_Source,depth_age_model_page_from_data_source,Lithology,Paleowater_depth,Depth_Age_model,fossil_zones
ODP 171-1050A,ODP,171,1050,A,North Atlantic Ocean,-76.235,30.1,"Jan 17, 1997","Jan 17, 1997",2299.8,36,319.9,319.9,166,91.80994061,late Paleocene,nannofossil chalk,319.9,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_04.PDF,29,1,1,1,1
ODP 171-1050B,ODP,171,1050,B,North Atlantic Ocean,-76.2349,30.1,"Jan 20, 1997","Jan 20, 1997",2299.8,27,240,240,173.81,91.43333333,Eocene,nannofossil chalk,240,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_04.PDF,,1,1,0,1
ODP 171-1050C,ODP,171,1050,C,North Atlantic Ocean,-76.235,30.0999,"Feb 8, 1997","Feb 9, 1997",2296.5,32,606,288.5,105.49,69.38994801,late Albian,nannofossil claystone,606,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_04.PDF,41,1,1,1,1
ODP 171-1051A,ODP,171,1051,A,North Atlantic Ocean,-76.3576,30.0529,"Jan 21, 1997","Jan 21, 1997",1982.7,74,644.6,636.3,95.91,94.27785636,late early Paleocene,claystone,644.6,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_05.PDF,20,1,1,1,1
ODP 171-1051B,ODP,171,1051,B,North Atlantic Ocean,-76.3578,30.0531,"Jan 27, 1997","Jan 27, 1997",1980.6,62,526.6,524.6,100.54,96.86999619,late Paleocene,chalk,526.6,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_05.PDF,,1,1,0,1
ODP 171-1052A,ODP,171,1052,A,North Atlantic Ocean,-76.6266,29.9515,"Jan 30, 1997","Jan 30, 1997",1344.5,21,174.5,174.5,177.74,91.47851003,late Paleocene,claystone,174.5,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,35,1,1,1,1
ODP 171-1052B,ODP,171,1052,B,North Atlantic Ocean,-76.6268,29.9513,"Jan 31, 1997","Jan 31, 1997",1345,14,119.5,119.5,134.23,96.77824268,middle Eocene,nannofossil ooze with spicules,119.5,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,,1,0,0,1
ODP 171-1052C,ODP,171,1052,C,North Atlantic Ocean,-76.6268,29.9513,"Jan 31, 1997","Jan 31, 1997",1345,2,19,19,130.78,104.7894737,early late Eocene,nannofossil ooze,19,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,,1,0,0,1
ODP 171-1052D,ODP,171,1052,D,North Atlantic Ocean,-76.6269,29.9513,"Jan 31, 1997","Jan 31, 1997",1342.5,2,19,19,298.2,102.1578947,early late Eocene,nannofossil ooze,19,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,,1,0,0,1
ODP 171-1052E,ODP,171,1052,E,North Atlantic Ocean,-76.6268,29.9513,"Jan 31, 1997","Jan 31, 1997",1343.5,59,684.8,544.6,9.82,60.20932795,Albian,claystone with carbonate; clayey siltstone with carbonate,684.8,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,35,1,0,1,1
ODP 171-1052F,ODP,171,1052,F,North Atlantic Ocean,-76.6268,29.9513,"Feb 1, 1997","Feb 1, 1997",1342,14,128.5,128.5,174.61,100.4824903,Eocene,nannofossil ooze,128.5,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_06.PDF,,1,0,0,0
ODP 171-1053A,ODP,171,1053,A,North Atlantic Ocean,-76.5236,29.9923,"Feb 6, 1997","Feb 7, 1997",1629.5,20,183.2,183.2,194.95,103.4388646,middle Eocene,nannofossil chalk,183.2,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_07.PDF,7,1,1,1,1
ODP 171-1053B,ODP,171,1053,B,North Atlantic Ocean,-76.5236,29.9923,"Feb 7, 1997","Feb 7, 1997",1630.3,20,182.4,182.4,19.53,93.2620614,middle Eocene,nannofossil chalk,182.4,,,http://www-odp.tamu.edu/publications/171B_IR/CHAP_07.PDF,7,1,1,1,1
ODP 172-1054A,ODP,172,1054,A,North Atlantic Ocean,-76.2833,33,"Feb 19, 1997","Feb 20, 1997",1291.3,22,200,200,181.24,91.275,middle Pliocene,"silty and clayey mixed sediment with diatoms, foraminifers, and nannofossils",N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1054B,ODP,172,1054,B,North Atlantic Ocean,-76.2833,32.9997,"Feb 20, 1997","Feb 21, 1997",1293.6,12,103.2,103.2,239.08,102.9941861,early Pleistocene,"silty and clayey mixed sediment with diatoms, foraminifers, and nannofossils",N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1054C,ODP,172,1054,C,North Atlantic Ocean,-76.2833,32.9995,"Feb 21, 1997",N/A,1294.7,13,101.9,101.9,134.56,102.6005888,early Pleistocene,"silty and clayey mixed sediment with diatoms, foraminifers, and nannofossils",N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1055A,ODP,172,1055,A,North Atlantic Ocean,-76.2862,32.784,"Feb 21, 1997","Feb 22, 1997",1798.7,1,9.5,9.5,82.66,103.3684211,Holocene,clayey nannofossil ooze with silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1055B,ODP,172,1055,B,North Atlantic Ocean,-76.2863,32.784,"Feb 22, 1997","Feb 22, 1997",1797.7,14,128,128,203.72,107.8046875,early Pleistocene,clay with nannofossils and silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1055C,ODP,172,1055,C,North Atlantic Ocean,-76.2863,32.7843,"Feb 22, 1997","Feb 22, 1997",1797.7,14,120.8,120.8,83.77,104.3874172,early Pleistocene,clay with nannofossils and silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1055D,ODP,172,1055,D,North Atlantic Ocean,-76.2863,32.7845,"Feb 22, 1997","Feb 23, 1997",1798.6,14,129.1,129.1,9.27,106.1115414,early Pleistocene,clay with nannofossils and silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1055E,ODP,172,1055,E,North Atlantic Ocean,-76.2863,32.7849,"Feb 23, 1997","Feb 23, 1997",1797.7,2,18,18,65.29,102.6666667,late Pleistocene,clayey nannofossil ooze with silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_03.PDF,21,1,0,1,1
ODP 172-1056A,ODP,172,1056,A,North Atlantic Ocean,-76.3301,32.485,"Feb 23, 1997","Feb 24, 1997",2166.7,1,9.5,9.5,400.4,105.0526316,late Pleistocene,clay with nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1056B,ODP,172,1056,B,North Atlantic Ocean,-76.33,32.485,"Feb 24, 1997","Feb 24, 1997",2166.6,17,155.6,155.6,341.95,110.4177378,early Pleistocene,clay and nannofossil clayey mixed sediment,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,38,1,0,1,1
ODP 172-1056C,ODP,172,1056,C,North Atlantic Ocean,-76.3302,32.4852,"Feb 24, 1997","Feb 25, 1997",2166.9,17,154.8,154.8,204.39,107.3966408,early Pleistocene,clay and clay with silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1056D,ODP,172,1056,D,North Atlantic Ocean,-76.3304,32.4854,"Feb 25, 1997","Feb 25, 1997",2166.4,13,121.8,121.8,176.54,108.7520526,early Pleistocene,clay with nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1057A,ODP,172,1057,A,North Atlantic Ocean,-76.0792,32.0292,"Feb 25, 1997","Feb 26, 1997",2583.7,14,131,131,28.83,108.1450382,early Pleistocene,clay with silt and nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,42,1,0,1,1
ODP 172-1057B,ODP,172,1057,B,North Atlantic Ocean,-76.0792,32.0289,"Feb 26, 1997","Feb 27, 1997",2584.5,15,136.7,136.7,46.56,106.1302121,early Pleistocene,clay with silt and nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1057C,ODP,172,1057,C,North Atlantic Ocean,-76.0793,32.0286,"Feb 27, 1997","Feb 27, 1997",2583.2,8,73.5,73.5,0,105.3877551,middle Pleistocene,clay with silt and nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1058A,ODP,172,1058,A,North Atlantic Ocean,-75.4301,31.6902,"Feb 27, 1997","Feb 28, 1997",2984.5,16,152,152,77.67,108.2631579,early Pleistocene,clay with silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,45,1,0,1,1
ODP 172-1058B,ODP,172,1058,B,North Atlantic Ocean,-75.4301,31.69,"Feb 28, 1997","Mar 1, 1997",2984,17,158,158,180.59,105.0632911,early Pleistocene,clay with silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1058C,ODP,172,1058,C,North Atlantic Ocean,-75.43,31.6898,"Mar 1, 1997","Mar 2, 1997",2984,18,164,164,96.3,105.9817073,early Pleistocene,clay with silt,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1059A,ODP,172,1059,A,North Atlantic Ocean,-75.4188,31.6744,"Mar 3, 1997","Mar 4, 1997",2985.4,11,98.8,98.8,51.77,106.7712551,middle Pleistocene,clay with silt and nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,49,1,0,1,1
ODP 172-1059B,ODP,172,1059,B,North Atlantic Ocean,-75.4185,31.6742,"Mar 4, 1997","Mar 5, 1997",2985.2,10,92.2,92.2,28.85,104.0238612,middle Pleistocene,clay with silt and nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 172-1059C,ODP,172,1059,C,North Atlantic Ocean,-75.4183,31.674,"Mar 5, 1997","Mar 5, 1997",2984.7,10,95,95,11,105.831579,middle Pleistocene,clay with silt and nannofossils,N/A,,,http://www-odp.tamu.edu/publications/172_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 173-1065A,ODP,173,1065,A,North Atlantic Ocean,-11.2954,40.7241,"Apr 22, 1997","May 1, 1997",4770.1,37,631.4,375.8,662.98,12.38956892,Middle to Upper Jurassic,"clay, claystone, and dolomitic claystone",631.4,,,http://www-odp.tamu.edu/publications/173_IR/VOLUME/CHAPTERS/CHAP_04.PDF,,1,0,0,1
ODP 173-1066A,ODP,173,1066,A,North Atlantic Ocean,-11.5871,40.6825,"May 1, 1997","May 1, 1997",5021.1,1,0,0,0,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/173_IR/VOLUME/CHAPTERS/CHAP_05.PDF,,0,0,0,0
ODP 173-1067A,ODP,173,1067,A,North Atlantic Ocean,-11.5958,40.6825,"May 1, 1997","May 10, 1997",5020.9,24,855.6,207.6,0,37.4132948,Middle Eocene to early Paleocene,"claystone, calcareous claystone, calcareous siltstone to sandstone",763.8,,,http://www-odp.tamu.edu/publications/173_IR/VOLUME/CHAPTERS/CHAP_06.PDF,15,1,0,1,1
ODP 174-1071A,ODP,174,1071,A,North Atlantic Ocean,-72.728,39.3824,"Jun 23, 1997","Jun 24, 1997",88.2,10,51.9,51.9,66.34,55.58766859,Holocene to Pleistocene,"Dark gray to dark greenish gray clay, dark gray silty clay and clayey silt, and olive gray to dark olive sand",51.9,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071B,ODP,174,1071,B,North Atlantic Ocean,-72.728,39.3825,"Jun 25, 1997","Jun 26, 1997",88.2,6,77.4,37.6,213.75,29.25531915,Holocene to Pleistocene,"Dark gray to dark greenish gray clay, dark gray silty clay and clayey silt, and olive gray to dark olive sand",77.4,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071C,ODP,174,1071,C,North Atlantic Ocean,-72.728,39.3825,"Jun 26, 1997","Jun 29, 1997",88.1,27,257.4,199,215.03,33.94472362,"Holocene(?), Pleistocene to late Pliocene","Dark gray to dark greenish gray clay, dark gray silty clay and clayey silt, and olive gray to dark olive sand",134.41,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071D,ODP,174,1071,D,North Atlantic Ocean,-72.7281,39.3824,"Jul 7, 1997","Jul 8, 1997",88,12,85.7,85.7,213.47,4.64410735,Holocene to Pleistocene,Dark gray silty clay,66.9,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071E,ODP,174,1071,E,North Atlantic Ocean,-72.728,39.3824,"Jul 8, 1997","Jul 9, 1997",87.6,1,0,0,217.47,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071F,ODP,174,1071,F,North Atlantic Ocean,-72.7157,39.3822,"Jul 10, 1997","Jul 12, 1997",90,19,424.2,148.5,25.87,13.51515152,late to middle Miocene,Dark gray muddy sand with sandy mud; olive gray silty clay; gray pebbly siltstone,414.91,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071G,ODP,174,1071,G,North Atlantic Ocean,-72.7156,39.3823,"Jul 12, 1997","Jul 13, 1997",90,1,0,0,216.8,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071H,ODP,174,1071,H,North Atlantic Ocean,-72.6862,39.2393,N/A,N/A,1401,2,5.11,5.1,118.41,89.21568627,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071I,ODP,174,1071,I,North Atlantic Ocean,-72.6861,39.2391,N/A,N/A,2380,2,5.84,5.8,209.19,45.86206897,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071J,ODP,174,1071,J,North Atlantic Ocean,-72.6863,39.2391,N/A,N/A,2381.4,2,6.67,6.7,211.45,48.35820896,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071K,ODP,174,1071,K,North Atlantic Ocean,-73.036,39.0357,N/A,N/A,2385.2,1,1.1,1.1,16.46,87.27272727,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071L,ODP,174,1071,L,North Atlantic Ocean,-73.0356,39.0356,N/A,N/A,427.2,1,4.52,2.6,70.28,100,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071M,ODP,174,1071,M,North Atlantic Ocean,-73.0357,39.0356,N/A,N/A,426.1,1,6.58,2.1,125.8,98.57142857,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071N,ODP,174,1071,N,North Atlantic Ocean,-73.0356,39.0355,N/A,N/A,426,5,13.17,6.8,149.58,98.08823529,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071O,ODP,174,1071,O,North Atlantic Ocean,-72.8996,39.2537,N/A,N/A,427.4,1,2,2,116.71,43.5,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1071P,ODP,174,1071,P,North Atlantic Ocean,-72.8996,39.2534,N/A,N/A,737.9,4,7.79,6.1,124.61,116.2295082,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_03.PDF,,1,1,0,1
ODP 174-1072A,ODP,174,1072,A,North Atlantic Ocean,-72.6946,39.3656,"Jun 29, 1997","Jul 2, 1997",98.1,56,306.8,306.8,129.9,49.50130378,early Pliocene to late Miocene,"Olive gray micaceous sandy silt, dark gray silty clay, dark gray micaceous muddy sand, and dark greenish gray glauconitic sandy silts and sandstones",274.38,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1072B,ODP,174,1072,B,North Atlantic Ocean,-72.6944,39.3655,"Jul 2, 1997","Jul 5, 1997",98,7,358.6,51.8,129.9,0.05791506,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1072C,ODP,174,1072,C,North Atlantic Ocean,-72.6941,39.3653,"Jul 5, 1997","Jul 6, 1997",99.5,1,0,0,55.57,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1072D,ODP,174,1072,D,North Atlantic Ocean,-72.6942,39.3654,"Jul 6, 1997","Jul 7, 1997",99.6,1,0,0,39.86,N/A,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1072E,ODP,174,1072,E,North Atlantic Ocean,-72.4947,39.2647,N/A,N/A,794.1,1,14.3,14.3,393.48,65.87412587,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1072F,ODP,174,1072,F,North Atlantic Ocean,-72.9378,39.2742,N/A,N/A,793.1,1,13,13,195.87,48.92307692,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1072G,ODP,174,1072,G,North Atlantic Ocean,-72.968,39.3165,N/A,N/A,793.8,1,13.8,13.8,160.94,54.13043478,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_04.PDF,,1,1,0,1
ODP 174-1073A,ODP,174,1073,A,North Atlantic Ocean,-72.2758,39.2254,"Jul 13, 1997","Jul 17, 1997",639.4,72,663.6,663.6,502.01,99.90657022,late Eocene,"Light olive gray, diatom- and clay-rich nannofossil chalk, and olive gray diatom-rich nannofossil clay",663.6,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1
ODP 174-1073B,ODP,174,1073,B,North Atlantic Ocean,-72.2793,39.2283,N/A,N/A,1280.4,1,6,6,133.17,29.5,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1
ODP 174-1073C,ODP,174,1073,C,North Atlantic Ocean,-72.2597,39.232,N/A,N/A,1282.1,1,62.9,62.9,217.83,47.79014308,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1
ODP 174-1073D,ODP,174,1073,D,North Atlantic Ocean,-72.284,39.2232,N/A,N/A,2178.1,1,38.6,38.6,185.32,76.99481865,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1
ODP 174-1073E,ODP,174,1073,E,North Atlantic Ocean,-72.423,39.2847,N/A,N/A,2183.1,1,35.2,35.2,206.41,3.35227273,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1
ODP 174-1073F,ODP,174,1073,F,North Atlantic Ocean,-72.42,39.2845,N/A,N/A,2178.9,1,13.4,13.4,9.78,9.10447761,NA,,N/A,,,http://www-odp.tamu.edu/publications/174A_IR/CHAPTERS/CHAP_05.PDF,,1,1,0,1
ODP 175-1075A,ODP,175,1075,A,South Atlantic Ocean,10.075,-4.78533,"Aug 23, 1997","Aug 24, 1997",2995.7,22,201,201,511.56,106.3432836,NA,Greenish gray to olive-gray nannofossil-bearing diatomaceous clay and diatomaceous clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/chap_03/chap_03.htm,18,1,0,1,1
ODP 175-1075B,ODP,175,1075,B,South Atlantic Ocean,10.075,-4.78533,"Aug 24, 1997","Aug 25, 1997",2995.2,22,204.5,204.5,186.6,105.1491443,NA,Greenish gray to olive-gray nannofossil-bearing diatomaceous clay and diatomaceous clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/chap_03/chap_03.htm,,1,0,0,1
ODP 175-1075C,ODP,175,1075,C,South Atlantic Ocean,10.0752,-4.78533,"Aug 25, 1997","Aug 26, 1997",2995.5,22,207.2,207.2,217.82,103.0260618,NA,Greenish gray to olive-gray nannofossil-bearing diatomaceous clay and diatomaceous clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/chap_03/chap_03.htm,,1,0,0,1
ODP 175-1076A,ODP,175,1076,A,South Atlantic Ocean,11.1015,-5.06887,"Aug 26, 1997","Aug 27, 1997",1404.2,22,204.3,204.3,594.39,106.4464024,NA,organic carbonäóñrich olive-gray and greenish gray clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_04.PDF,7,1,0,1,1
ODP 175-1076B,ODP,175,1076,B,South Atlantic Ocean,11.1015,-5.06892,"Aug 27, 1997","Aug 27, 1997",1402.1,7,60.9,60.9,326.61,42.47947455,NA,organic carbonäóñrich olive-gray and greenish gray clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_04.PDF,7,1,0,1,1
ODP 175-1076C,ODP,175,1076,C,South Atlantic Ocean,11.1017,-5.06885,"Aug 27, 1997","Aug 28, 1997",1402.4,22,203.1,203.1,211.09,106.7454456,NA,organic carbonäóñrich olive-gray and greenish gray clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_04.PDF,7,1,0,1,1
ODP 175-1076D,ODP,175,1076,D,South Atlantic Ocean,11.1019,-5.06885,"Aug 28, 1997","Aug 29, 1997",1401,12,113.5,113.5,212.09,104.3259912,NA,organic carbonäóñrich olive-gray and greenish gray clay,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_04.PDF,7,1,0,1,1
ODP 175-1077A,ODP,175,1077,A,South Atlantic Ocean,10.4366,-5.17995,"Aug 29, 1997","Aug 30, 1997",2380,22,204.5,204.5,252.38,102.2933985,NA,"diatom-rich, diatom-bearing, nannofossil-bearing, and nannofossil-rich clay",N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_05.PDF,9,1,0,1,1
ODP 175-1077B,ODP,175,1077,B,South Atlantic Ocean,10.4364,-5.17997,"Aug 30, 1997","Aug 31, 1997",2381.4,22,205.1,205.1,74.83,103.0960507,NA,"diatom-rich, diatom-bearing, nannofossil-bearing, and nannofossil-rich clay",N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_05.PDF,9,1,0,1,1
ODP 175-1077C,ODP,175,1077,C,South Atlantic Ocean,10.4362,-5.17998,"Aug 31, 1997","Aug 31, 1997",2385.2,3,22.8,22.8,478.3,72.19298246,NA,"diatom-rich, diatom-bearing, nannofossil-bearing, and nannofossil-rich clay",N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_05.PDF,9,1,0,1,1
ODP 175-1078A,ODP,175,1078,A,South Atlantic Ocean,13.4002,-11.9202,"Sep 2, 1997","Sep 3, 1997",427.2,9,77.1,77.1,130.92,91.15434501,NA,olive-gray and dark olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_06.PDF,18,1,0,1,1
ODP 175-1078B,ODP,175,1078,B,South Atlantic Ocean,13.4003,-11.9205,"Sep 3, 1997","Sep 3, 1997",426.1,14,130.1,130.1,865.99,96.69485012,NA,olive-gray and dark olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_06.PDF,18,1,0,1,1
ODP 175-1078C,ODP,175,1078,C,South Atlantic Ocean,13.4003,-11.9208,"Sep 3, 1997","Sep 4, 1997",426,18,165.2,165.2,9.94,90.54479419,NA,olive-gray and dark olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_06.PDF,18,1,0,1,1
ODP 175-1078D,ODP,175,1078,D,South Atlantic Ocean,13.4003,-11.9211,"Sep 4, 1997","Sep 4, 1997",427.4,14,126.8,126.8,125.55,92.04258675,NA,olive-gray and dark olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_06.PDF,18,1,0,1,1
ODP 175-1079A,ODP,175,1079,A,South Atlantic Ocean,13.3091,-11.9296,"Sep 4, 1997","Sep 5, 1997",737.9,14,121,121,93.86,102.9834711,NA,olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_07.PDF,7,1,0,1,1
ODP 175-1079B,ODP,175,1079,B,South Atlantic Ocean,13.309,-11.9295,"Sep 5, 1997","Sep 5, 1997",738.2,14,128.3,128.3,149.64,101.2470772,NA,olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_07.PDF,7,1,0,1,1
ODP 175-1079C,ODP,175,1079,C,South Atlantic Ocean,13.3094,-11.93,"Sep 5, 1997","Sep 5, 1997",737.9,14,126.8,126.8,246.62,102.444795,NA,olive-gray silty clay with varying amounts of nannofossils and foraminifers,N/A,,,http://www-odp.tamu.edu/publications/175_IR/VOLUME/CHAPTERS/CHAP_07.PDF,7,1,0,1,1
